,cons_growth,exp_cons_growth,filtered_state
1979-09-30,-0.00014872759727646567,0.0037226535309865063,-0.001114681205264579
1979-12-31,0.0019760936615860203,0.0036323891578873913,-0.010141118515176078
1980-03-31,-0.005977109901964095,0.003136429300187743,-0.059737104285140896
1980-06-30,-0.012192122184766063,0.002352592656417341,-0.1381207686621811
1980-09-30,0.0041857298109837515,0.002470647352183301,-0.1263152990855851
1980-12-31,0.009657612767263402,0.002863990343390335,-0.0869809999648817
1981-03-31,-0.0047794809973700225,0.002482709508169138,-0.1251090834870014
1981-06-30,0.004504160905694832,0.002608338605311135,-0.11254617377280171
1981-09-30,-0.000808206120687327,0.0024502414882991387,-0.12835588547400134
1981-12-31,0.0008879321220738312,0.00239081802694394,-0.1342982316095212
1982-03-31,0.0028589611532927606,0.0024375424651974635,-0.12962578778416883
1982-06-30,0.003863326059872829,0.0025330791303521897,-0.12007212126869622
1982-09-30,0.006298472215610751,0.0027481804571001154,-0.09856198859390365
1982-12-31,0.014575405246814999,0.003377187874495604,-0.03566124685435478
1983-03-31,0.010284138756478267,0.003740854850162225,0.0007054507123073067
1983-06-30,0.009177386975322666,0.004022284251778676,0.028848390873952443
1983-09-30,0.012896840749450522,0.004477051435052245,0.07432510920130934
1983-12-31,0.009194279877457134,0.004708906278591934,0.0975105935552782
1984-03-31,0.00019875284934078863,0.004459011833156433,0.07252114901172815
1984-06-30,0.011248060668142212,0.004798464214045721,0.10646638710065688
1984-09-30,0.008091246063635094,0.004951169587018083,0.1217369243978931
1984-12-31,0.007900664913131461,0.005083540676052709,0.1349740333013557
1985-03-31,0.013614967404556033,0.005502773436691276,0.17689730936521242
1985-06-30,0.007193015869927599,0.00556069694413842,0.1826896601099268
1985-09-30,0.01080440556119644,0.005801678011416096,0.2067877668376944
1985-12-31,0.00568179830746951,0.005760855423081552,0.20270550800423998
1986-03-31,0.003196312078188157,0.005594111761989281,0.1860311418950129
1986-06-30,0.007191643445679574,0.005645705044699566,0.19119047016604138
1986-09-30,0.0045513763142359664,0.005557028460436954,0.18232281173978013
1986-12-31,0.008006970789144585,0.005653387180429215,0.19195868373900632
1987-03-31,0.007681986776117977,0.005726312424228273,0.1992512081189121
1987-06-30,0.0065190155070027345,0.0057340122800820376,0.20002119370428853
1987-09-30,0.004323595115870216,0.0056274879102588835,0.18936875672197315
1987-12-31,0.005346135397840346,0.005581218729377257,0.18474183863381052
1988-03-31,0.010901359916824394,0.005825814576945234,0.20920142339060818
1988-06-30,0.006382867477250809,0.005819644996754757,0.20858446537156053
1988-09-30,0.00991206768796049,0.005996668654735452,0.22628683116962994
1988-12-31,0.00709077949723147,0.006015452336700527,0.22816519936613747
1989-03-31,0.0032127157902492876,0.005832111406923644,0.20983110638844923
1989-06-30,6.461605077134891e-05,0.005498300298997151,0.17644999559579988
1989-09-30,0.0063090035861397276,0.005510749050656871,0.1776948707617719
1989-12-31,0.008140153303349162,0.005617176428721307,0.1883376085682155
1990-03-31,-0.005335109051311182,0.0050184528670618985,0.1284652524022747
1990-06-30,0.007711674144221803,0.005136425762186397,0.14026254191472456
1990-09-30,0.0033301857032870252,0.00501940550403763,0.12856051609984787
1990-12-31,-0.00835791924102125,0.004305099948748273,0.05712996057091213
1991-03-31,-0.0010609063461384238,0.004017641861739527,0.028384151870037434
1991-06-30,0.0074281509858327155,0.004189514305162628,0.045571396212347605
1991-09-30,0.001728051466900915,0.004054411698154298,0.032061135511514655
1991-12-31,-3.315825647431936e-05,0.003837357633402401,0.010355729036324889
1992-03-31,0.014261110117332443,0.0043754501712006035,0.06416498281614517
1992-06-30,0.004893897215493492,0.004391558950406503,0.06577586073673512
1992-09-30,0.006833810466275292,0.004507028198078074,0.07732278550389216
1992-12-31,0.00813888821255393,0.0046821721273392425,0.09483717843000908
1993-03-31,0.0008877318948155022,0.004469790588314854,0.07359902452757022
1993-06-30,0.004007950690508633,0.004433553035950931,0.06997526929117795
1993-09-30,0.00900017563353428,0.004658336414288565,0.09245360712494136
1993-12-31,0.003924453576616749,0.004604854211323509,0.08710538682843573
1994-03-31,0.007573907347373066,0.0047440351421552725,0.10102347991161209
1994-06-30,0.005266069215759117,0.004754159934649519,0.10203595916103672
1994-09-30,0.004383212192445196,0.0047178694464628905,0.09840691034237384
